Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume,Daily Return %,MA_10,MA_30,Volatility_10
3004,3022.5,2979,2982.050049,2915.298096,2652374,-0.412426051,2959.667041,3048.819775,43.19588929
2990,3029.949951,2979.300049,3007.399902,2940.080566,2017983,0.850083566,2954.045752,3041.172575,41.52524056
3028,3041.399902,2998.149902,3001.199951,2934.019531,2253818,-0.206152004,2944.196314,3033.855892,31.25663099
3050,3079.949951,3030,3040.300049,2972.244141,1544295,1.302806938,2939.225147,3028.161312,19.10732553
3036,3042,2987.800049,3028.800049,2961.001709,2072220,-0.378247259,2943.512012,3020.950114,18.6529095
3076,3094.350098,3000,3008.699951,2941.351318,5322221,-0.663639975,2943.9177,3012.495817,18.54646953
3130,3137.75,3100,3104.350098,3034.860596,2138023,3.179126459,2954.383081,3009.332788,33.47158491
3135,3141.399902,3113.800049,3120.399902,3050.551025,5090269,0.517006581,2962.668384,3007.669645,45.29857366
3263.449951,3263.449951,3225,3229.350098,3157.062256,1972678,3.491540713,2983.384058,3009.748006,75.86709313
3239.899902,3269.800049,3225,3242.949951,3170.35791,1785928,0.421140064,3007.682715,3012.115999,92.92762518
3195,3233.5,3168.5,3217.649902,3145.624023,1561185,-0.780160717,3030.715308,3013.672599,95.97903425
3170,3183.5,3160.100098,3169.649902,3098.69873,1346113,-1.491764199,3046.577124,3014.458944,92.3753769
3102,3161.899902,3102,3149.600098,3079.097656,1291534,-0.632558235,3061.084936,3013.941748,83.72076562
3135.5,3140.850098,3106.350098,3127.050049,3057.052246,1936453,-0.715969822,3069.565747,3013.847908,77.80804983
3123.649902,3147.949951,3112.25,3133.399902,3063.26001,2147912,0.20306372,3079.791577,3013.214453,68.06432378
3163,3163,3120.300049,3130.399902,3060.327393,2052900,-0.095735164,3091.689185,3013.559774,48.86760805
3190,3190,3121,3131.699951,3061.598145,3546935,0.0415234,3094.362939,3014.620492,46.06382116
3155,3226.5,3142.100098,3211.149902,3139.269775,3431525,2.536963583,3103.234814,3018.135018,45.22403363
3125,3142.699951,3081,3132.550049,3062.429199,2539173,-2.447721334,3093.771509,3019.171289,42.52983553
3234.300049,3257,3216.800049,3222.199951,3150.072266,1457962,2.861880596,3091.742944,3024.145719,38.7903623
3276,3278.149902,3214.75,3218.199951,3146.161865,1946930,-0.124136866,3091.796729,3027.393026,38.87365464
3292,3308,3250.199951,3255.350098,3182.480225,1691923,1.154370359,3100.174878,3033.599251,48.39005206
3319.949951,3341.899902,3270,3284.600098,3211.075684,1849256,0.898527468,3113.372681,3039.55131,58.86641539
3365,3384.100098,3347.399902,3354.550049,3279.459961,1536532,2.129637658,3135.613452,3048.134782,75.02130649
3387,3421.5,3371.25,3385.75,3309.961426,1398410,0.930075847,3160.283594,3061.195728,88.02133851
3390,3392,3362,3381.25,3305.562012,1430659,-0.132914359,3184.807056,3073.471314,91.18380651
3385.100098,3417.949951,3371.100098,3401.100098,3324.967773,1622326,0.587063892,3211.144019,3086.630013,89.66518833
3411,3414.850098,3387.5,3392.699951,3316.755615,839942,-0.246984589,3228.892603,3098.265267,91.40653638
3419,3419,3381.25,3401.550049,3325.407715,1472354,0.260860341,3255.190454,3110.782007,74.4503759
3400,3428.699951,3375.050049,3422.5,3345.888672,1449248,0.61589311,3274.772095,3124.732585,69.30420299
3385,3385,3335,3354.25,3279.166504,1878359,-1.994153857,3288.072559,3136.861532,52.6385465
3365,3378.899902,3336,3374.449951,3298.914307,1068836,0.602220198,3299.715967,3148.822656,37.34146076
3361.199951,3377,3355,3365.050049,3289.724854,1106933,-0.278559918,3307.580884,3160.6795,21.53450877
3350,3387.899902,3307.350098,3354.949951,3279.850586,2150567,-0.300154829,3307.619946,3170.933049,21.47811152
3280,3349,3277.050049,3339.5,3264.746826,2895824,-0.460501465,3303.098486,3181.057886,25.34203664
3290,3312.899902,3271.649902,3291.800049,3218.114502,1269114,-1.428359578,3294.353735,3190.283325,36.86532749
3327,3327,3271,3298.800049,3224.957764,1306913,0.212648183,3284.352735,3196.619898,40.97404693
3290,3317.300049,3275,3301.899902,3227.988281,2430257,0.09397075,3275.476001,3202.534473,42.75108016
3216,3264,3201.649902,3260.5,3187.515137,2106333,-1.253819422,3261.686743,3203.549569,46.89396425
3115,3194.100098,3110,3188.850098,3117.468994,1389808,-2.197515619,3238.844776,3201.786605,56.0581389
3164.699951,3168.899902,3096.5,3115.899902,3046.151855,2639367,-2.287661534,3215.543311,3198.470866,80.52451082
3165,3186.449951,3149.100098,3166.75,3095.863525,1797504,1.631949829,3195.238232,3198.376359,82.73608485
3185,3197,3143.5,3171,3100.018311,2075886,0.13420443,3176.267578,3199.073714,80.3793728
3167,3184,3144.050049,3177.300049,3106.17749,2420640,0.19868202,3158.900269,3200.711222,74.02292336
